Source,ProductTypeDes,Target,Volume
Japan,Other transport equipment,South Africa,47883000
Japan,Other transport equipment,South and Central America,1893898000
Japan,Other transport equipment,United States,9202784000
Mexico,Machinery and transport equipment,Africa,221536000
Mexico,Machinery and transport equipment,Asia,5567309000
Mexico,Machinery and transport equipment,Australia and New Zealand,559802000
Mexico,Machinery and transport equipment,Brazil,2129099000
Mexico,Machinery and transport equipment,China,2271331000
Mexico,Machinery and transport equipment,Commonwealth of Independent States (CIS),156649000
Mexico,Machinery and transport equipment,Europe,8598799000
Mexico,Machinery and transport equipment,European Union (28),8284655000
Mexico,Machinery and transport equipment,Four East Asian traders,1191053000
Mexico,Machinery and transport equipment,India,302520000
Mexico,Machinery and transport equipment,Japan,770474000
Mexico,Machinery and transport equipment,Middle East,801042000
Mexico,Machinery and transport equipment,North America,210930777000
Mexico,Machinery and transport equipment,Other Africa,70529000
Mexico,Machinery and transport equipment,Other Asia,472129000
Mexico,Machinery and transport equipment,Other CIS (CIS11),8873000
Mexico,Machinery and transport equipment,Other Europe,314144000
Mexico,Machinery and transport equipment,Russian Federation,147776000
Mexico,Machinery and transport equipment,South Africa,151007000
Mexico,Machinery and transport equipment,South and Central America,9425351000
Mexico,Machinery and transport equipment,United States,203221609000
Mexico,Automotive products,Africa,31264000
Mexico,Automotive products,Asia,2403616000
Mexico,Automotive products,Australia and New Zealand,242055000
Mexico,Automotive products,Brazil,1406305000
Mexico,Automotive products,China,1495038000
Mexico,Automotive products,Commonwealth of Independent States (CIS),115192000
Mexico,Automotive products,Europe,3831722000
Mexico,Automotive products,European Union (28),3710461000
Mexico,Automotive products,Four East Asian traders,221671000
Mexico,Automotive products,India,81718000
Mexico,Automotive products,Japan,251753000
Mexico,Automotive products,Middle East,527409000
Mexico,Automotive products,North America,86122147000
Mexico,Automotive products,Other Africa,9552000
Mexico,Automotive products,Other Asia,111381000
Mexico,Automotive products,Other CIS (CIS11),3523000
Mexico,Automotive products,Other Europe,121261000
Mexico,Automotive products,Russian Federation,111669000
Mexico,Automotive products,South Africa,21712000
Mexico,Automotive products,South and Central America,3951829000
Mexico,Automotive products,United States,81391348000
Mexico,Other transport equipment,Africa,6703000
Mexico,Other transport equipment,Asia,227569000
Mexico,Other transport equipment,Australia and New Zealand,66565000
Mexico,Other transport equipment,Brazil,71438000
Mexico,Other transport equipment,China,41288000
Mexico,Other transport equipment,Commonwealth of Independent States (CIS),3742000
Mexico,Other transport equipment,Europe,404055000
Mexico,Other transport equipment,European Union (28),392077000
Mexico,Other transport equipment,Four East Asian traders,41073000
Mexico,Other transport equipment,India,2301000
Mexico,Other transport equipment,Japan,59968000
Mexico,Other transport equipment,Middle East,7604000
Mexico,Other transport equipment,North America,9973301000
Mexico,Other transport equipment,Other Africa,3348000
Mexico,Other transport equipment,Other Asia,16374000
Mexico,Other transport equipment,Other CIS (CIS11),312000
Mexico,Other transport equipment,Other Europe,11978000
Mexico,Other transport equipment,Russian Federation,3430000
Mexico,Other transport equipment,South Africa,3355000
Mexico,Other transport equipment,South and Central America,299165000
Mexico,Other transport equipment,United States,9529042000
North America,Machinery and transport equipment,Africa,14450659078
North America,Machinery and transport equipment,Asia,189859972993
North America,Machinery and transport equipment,Australia and New Zealand,16565700227
North America,Machinery and transport equipment,Brazil,16473219728
North America,Machinery and transport equipment,China,55675122403
North America,Machinery and transport equipment,Commonwealth of Independent States (CIS),6348706329
North America,Machinery and transport equipment,Europe,127637892661
North America,Machinery and transport equipment,European Union (28),117994497555
North America,Machinery and transport equipment,Four East Asian traders,63310667419
North America,Machinery and transport equipment,India,5789576318
North America,Machinery and transport equipment,Japan,22043847594
North America,Machinery and transport equipment,Mexico,111649144749
North America,Machinery and transport equipment,Middle East,45200199751
North America,Machinery and transport equipment,North America,544410114624
North America,Machinery and transport equipment,Other Africa,11295855190
North America,Machinery and transport equipment,Other Asia,26475059031
North America,Machinery and transport equipment,Other CIS (CIS11),1401918815
North America,Machinery and transport equipment,Other Europe,9643395105
North America,Machinery and transport equipment,Russian Federation,4946787513
North America,Machinery and transport equipment,South Africa,3154803887
North America,Machinery and transport equipment,South and Central America,61323158783
North America,Machinery and transport equipment,United States,301161130689
North America,Automotive products,Africa,2505320080
North America,Automotive products,Asia,22306019363
North America,Automotive products,Australia and New Zealand,3389984553
North America,Automotive products,Brazil,2483041265
North America,Automotive products,China,12840195640
North America,Automotive products,Commonwealth of Independent States (CIS),880300359
North America,Automotive products,Europe,19107566740
North America,Automotive products,European Union (28),18137571274
North America,Automotive products,Four East Asian traders,2869694640
North America,Automotive products,India,275694057
North America,Automotive products,Japan,1608139688
North America,Automotive products,Mexico,27067763900
North America,Automotive products,Middle East,11619867702
North America,Automotive products,North America,220568926408
North America,Automotive products,Other Africa,1866066572
North America,Automotive products,Other Asia,1322310785
North America,Automotive products,Other CIS (CIS11),175758436
North America,Automotive products,Other Europe,969995466
North America,Automotive products,Russian Federation,704541923
North America,Automotive products,South Africa,639253508
North America,Automotive products,South and Central America,9228502704
North America,Automotive products,United States,140268675320
North America,Other transport equipment,Africa,4478210248
North America,Other transport equipment,Asia,54301792349
